step,rank,param_name,norm,mean,max,min
0,0,module.model.layers.28.mlp.up_proj.weight,3.201171875,5.960464477539063e-08,0.047882080078125,-0.09197998046875
0,0,module.model.layers.28.mlp.gate_proj.weight,3.044921875,-0.0,0.06866455078125,-0.05316162109375
0,0,module.model.layers.28.post_attention_layernorm.weight,0.2347412109375,0.0002734661102294922,0.12060546875,-0.01971435546875
0,0,module.model.layers.28.self_attn.o_proj.weight,1.6943359375,-0.0,0.047088623046875,-0.027862548828125
0,0,module.model.layers.28.self_attn.v_proj.weight,3.310546875,5.960464477539063e-08,0.40966796875,-0.399169921875
0,0,module.model.layers.28.self_attn.k_proj.weight,1.9296875,-0.0,0.447021484375,-0.29248046875
0,0,module.model.layers.28.self_attn.q_proj.weight,1.8056640625,-5.960464477539063e-08,0.279052734375,-0.47119140625
0,0,module.model.layers.28.input_layernorm.weight,0.208740234375,-0.00017714500427246094,0.11614990234375,-0.12054443359375
0,0,module.model.layers.27.mlp.down_proj.weight,3.609375,-0.0,0.0450439453125,-0.05926513671875
0,0,module.model.layers.27.mlp.up_proj.weight,3.138671875,-5.960464477539063e-08,0.09930419921875,-0.096435546875
0,0,module.model.layers.27.mlp.gate_proj.weight,2.85546875,5.960464477539063e-08,0.0672607421875,-0.06390380859375
0,0,module.model.layers.27.post_attention_layernorm.weight,0.251220703125,0.00010496377944946289,0.155029296875,-0.04620361328125
0,0,module.model.layers.27.self_attn.o_proj.weight,1.341796875,5.960464477539063e-08,0.0283966064453125,-0.023223876953125
0,0,module.model.layers.27.self_attn.v_proj.weight,2.94921875,5.960464477539063e-08,0.1741943359375,-0.173095703125
0,0,module.model.layers.27.self_attn.k_proj.weight,1.134765625,-5.960464477539063e-08,0.2239990234375,-0.15771484375
0,0,module.model.layers.27.self_attn.q_proj.weight,1.0869140625,-0.0,0.159423828125,-0.2452392578125
0,0,module.model.layers.27.input_layernorm.weight,0.68310546875,-0.00022029876708984375,0.0305938720703125,-0.6708984375
0,0,module.model.layers.26.mlp.down_proj.weight,3.54296875,-0.0,0.072265625,-0.032867431640625
0,0,module.model.layers.26.mlp.up_proj.weight,3.125,5.960464477539063e-08,0.05096435546875,-0.03204345703125
0,0,module.model.layers.26.mlp.gate_proj.weight,2.857421875,-5.960464477539063e-08,0.02557373046875,-0.0244903564453125
0,0,module.model.layers.26.post_attention_layernorm.weight,0.2047119140625,0.0001291036605834961,0.0280303955078125,-0.047454833984375
0,0,module.model.layers.26.self_attn.o_proj.weight,1.61328125,-0.0,0.031646728515625,-0.037750244140625
0,0,module.model.layers.26.self_attn.v_proj.weight,3.533203125,4.172325134277344e-07,0.2415771484375,-0.20556640625
0,0,module.model.layers.26.self_attn.k_proj.weight,0.73779296875,-0.0,0.058013916015625,-0.0654296875
0,0,module.model.layers.26.self_attn.q_proj.weight,0.7548828125,5.960464477539063e-08,0.0875244140625,-0.058135986328125
0,0,module.model.layers.26.input_layernorm.weight,0.414794921875,-5.704164505004883e-05,0.11419677734375,-0.390625
0,0,module.model.layers.25.mlp.down_proj.weight,3.46484375,-5.960464477539063e-08,0.0814208984375,-0.07745361328125
0,0,module.model.layers.25.mlp.up_proj.weight,3.05078125,0.0,0.047454833984375,-0.034271240234375
0,0,module.model.layers.25.mlp.gate_proj.weight,2.8203125,0.0,0.035919189453125,-0.041351318359375
0,0,module.model.layers.25.post_attention_layernorm.weight,0.2406005859375,2.3663043975830078e-05,0.10723876953125,-0.08819580078125
0,0,module.model.layers.25.self_attn.o_proj.weight,1.6923828125,2.384185791015625e-07,0.02581787109375,-0.033599853515625
0,0,module.model.layers.25.self_attn.v_proj.weight,3.521484375,-5.960464477539063e-08,0.2130126953125,-0.2073974609375
0,0,module.model.layers.25.self_attn.k_proj.weight,1.0439453125,0.0,0.129150390625,-0.155029296875
0,0,module.model.layers.25.self_attn.q_proj.weight,0.98779296875,-0.0,0.08343505859375,-0.1265869140625
0,0,module.model.layers.25.input_layernorm.weight,0.1312255859375,1.8417835235595703e-05,0.055938720703125,-0.03515625
0,0,module.model.layers.24.mlp.down_proj.weight,3.609375,-5.960464477539063e-08,0.059295654296875,-0.1138916015625
0,0,module.model.layers.24.mlp.up_proj.weight,3.154296875,-5.960464477539063e-08,0.03271484375,-0.018707275390625
0,0,module.model.layers.24.mlp.gate_proj.weight,2.888671875,-0.0,0.0237579345703125,-0.03424072265625
0,0,module.model.layers.24.post_attention_layernorm.weight,0.2666015625,2.6106834411621094e-05,0.08154296875,-0.11956787109375
0,0,module.model.layers.24.self_attn.o_proj.weight,2.001953125,0.0,0.08135986328125,-0.03875732421875
0,0,module.model.layers.24.self_attn.v_proj.weight,3.47265625,-0.0,0.1466064453125,-0.15576171875
0,0,module.model.layers.24.self_attn.k_proj.weight,1.01953125,-0.0,0.1356201171875,-0.0965576171875
0,0,module.model.layers.24.self_attn.q_proj.weight,1.1259765625,5.960464477539063e-08,0.1361083984375,-0.1590576171875
0,0,module.model.layers.24.input_layernorm.weight,0.255615234375,-0.00013244152069091797,0.035003662109375,-0.2330322265625
0,0,module.model.layers.23.mlp.down_proj.weight,3.65234375,-5.960464477539063e-08,0.038665771484375,-0.047149658203125
0,0,module.model.layers.23.mlp.up_proj.weight,3.255859375,5.960464477539063e-08,0.048797607421875,-0.042755126953125
0,0,module.model.layers.23.mlp.gate_proj.weight,2.91796875,-0.0,0.034637451171875,-0.035400390625
0,0,module.model.layers.23.post_attention_layernorm.weight,0.390625,7.647275924682617e-05,0.307861328125,-0.078369140625
0,0,module.model.layers.23.self_attn.o_proj.weight,1.3583984375,-0.0,0.0262451171875,-0.043731689453125
0,0,module.model.layers.23.self_attn.v_proj.weight,3.166015625,-5.960464477539063e-08,0.1962890625,-0.160400390625
0,0,module.model.layers.23.self_attn.k_proj.weight,0.72021484375,-0.0,0.04547119140625,-0.04290771484375
0,0,module.model.layers.23.self_attn.q_proj.weight,0.75830078125,-5.960464477539063e-08,0.054595947265625,-0.040374755859375
0,0,module.model.layers.23.input_layernorm.weight,0.53369140625,-0.00012946128845214844,0.0263671875,-0.521484375
0,0,module.model.layers.22.mlp.down_proj.weight,3.82421875,-1.1920928955078125e-07,0.07122802734375,-0.037689208984375
0,0,module.model.layers.22.mlp.up_proj.weight,3.275390625,5.960464477539063e-08,0.0645751953125,-0.039520263671875
0,0,module.model.layers.22.mlp.gate_proj.weight,2.93359375,-0.0,0.0301666259765625,-0.032806396484375
0,0,module.model.layers.22.post_attention_layernorm.weight,0.28759765625,0.0001608133316040039,0.12939453125,-0.08599853515625
0,0,module.model.layers.22.self_attn.o_proj.weight,1.765625,0.0,0.027679443359375,-0.0258941650390625
0,0,module.model.layers.22.self_attn.v_proj.weight,3.494140625,1.1920928955078125e-07,0.19091796875,-0.1910400390625
